SITE,DATE,TOTAL
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,16,0
AU,17,0
AU,17,0
AU,17,113950
AU,17,0
AU,17,600
AU,17,241180
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,17,0
AU,18,49060
AU,18,37203
AU,18,63190
AU,18,97244
AU,18,119280
AU,19,0
AU,19,10296
AU,19,120263
AU,19,0
AU,19,100659
AU,19,0
AU,19,0
AU,19,0
AU,19,0
AU,19,0
AUPk,19,141726
AU,20,26598
AU,20,117110
AU,20,53562
AU,20,2116
AU,20,275157
AU,20,127305
AU,20,45904
AU,20,176792
AU,20,255640
AU,20,14120
AU,21,154394
AU,21,148570
AU,21,164640
AU,21,257298
AU,21,43200
AU,21,116181
AU,21,74520
AU,21,180320
AU,21,49506
AU,22,97580
AU,22,56772
AU,22,142450
AU,22,159470
AU,22,32314
AU,22,71882
AU,22,58220
AU,22,54290
AU,22,100470
AU,22,103290
AUPk,22,103896
AU,23,43896
AU,23,113894
AU,23,164150
AU,23,156585
AU,23,71928
AU,23,107004
AU,23,16432
AU,23,114708
AU,23,87330
AU,23,85340
AU,24,304591
AU,24,104535
AU,24,64896
AU,24,122120
AU,24,121471
AU,24,158010
AU,24,142450
AU,24,93960
AU,24,84372
AU,24,116181
AU,25,153546
AU,25,71959
AU,25,146010
AU,25,73920
AU,25,118779
AU,25,109120
AU,25,110789
AU,25,344640
AU,25,305900
AU,25,235620
AU,26,157662
AU,26,112200
AU,26,134300
AU,26,131240
AU,26,143480
AU,26,59840
AU,26,57280
AU,26,5994
AU,26,52480
AU,26,92820
AU,27,133120
AU,27,98240
AU,27,156420
AU,27,89760
AU,27,105920
AU,27,32640
AU,27,60800
AU,27,86460
AU,27,106080
AU,27,164670
AU,27,65450
AU,27,94520
AU,28,106400
AU,28,193120
AU,28,154110
AU,28,229500
AU,28,280500
AU,28,65670
AU,28,122400
AU,28,25110
AU,28,40320
AU,28,31000
AU,29,27590
AU,29,46200
AU,29,17985
AU,29,45540
AU,29,50400
AU,29,25080
AU,29,0
AU,29,0
AU,29,0
AU,29,28250
AU,30,11040
AU,30,35100
AU,30,93600
AU,30,74250
AU,30,31670
AU,30,39786
AU,30,62880
AU,30,0
AU,30,0
AU,30,123240
AU ,31,42900
AU ,31,56875
AU ,31,66285
AU ,31,43065
AU ,31,29960
AU ,31,61020
AU ,31,25515
AU ,31,96255
AU ,31,94950
AU ,31,30044
AU,32,18525
AU,32,20650
AU,32,18270
AU,32,27370
AU,32,18480
AU,32,14840
AU,32,0
AU,32,44081
AU,32,22950
AU,32,33150
AU,32,40050
AUB,18,103096
AUB,18,80444
AUB,18,62208
AUB,18,147700
AUB,18,166725
