"respondent_number,q1_gender,q2_age,q3_nationality,q4_studylevel,q5_relationship,q6_outsidelecturestudy,q7_studymotivation,q8_hangoverstudy,q9_alcoholmonth,q10_alcoholeffect,q11_hangoverproductivity"
"1,0,23,1,2,1,1,2,1,6,5,5"
"2,0,26,2,2,2,3,4,2,2,3,5"
"3,0,24,2,2,3,3,4,4,3,2,5"
"4,1,28,3,1,1,1,1,3,2,2,1"
"5,0,25,2,1,3,1,3,2,3,3,5"
"6,1,23,1,2,1,3,3,3,6,3,3"
"7,0,24,4,2,3,2,3,4,2,2,3"
"8,0,31,5,2,3,3,4,2,1,2,5"
"9,0,22,2,2,1,1,2,4,3,3,3"
"10,0,26,2,2,1,3,4,5,4,3,5"
"11,1,20,2,1,1,5,3,2,3,3,3"
"12,0,29,2,2,3,1,2,4,3,2,5"
"13,0,23,2,2,1,3,4,2,2,3,4"
"14,0,23,5,2,3,2,4,2,1,2,5"
"15,1,20,6,1,1,2,3,4,1,2,1"
"16,1,20,7,1,2,3,4,2,2,2,4"
"17,0,1,7,1,1,6,4,2,2,2,2"
"18,0,23,2,2,2,1,2,5,3,2,3"
"19,1,23,8,2,1,1,2,2,2,2,3"
"20,0,25,9,2,2,1,3,5,1,3,2"
"21,0,22,2,2,1,3,3,5,4,4,3"
"22,0,32,2,2,3,5,5,5,2,1,1"
"23,1,23,2,2,1,3,2,5,1,1,1"
"24,0,19,2,1,1,2,2,2,2,4,4"
"25,0,25,10,1,3,2,5,5,6,2,2"
"26,0,23,11,2,1,2,3,2,2,2,3"
"27,0,24,10,1,3,3,4,2,1,4,4"
"28,1,26,1,1,1,1,3,5,6,2,2"
"29,0,24,2,2,3,4,3,2,2,3,5"
"30,0,20,2,1,1,1,4,2,1,2,1"
"31,0,23,2,2,1,3,1,2,2,2,2"
"32,0,23,2,1,3,2,4,3,3,2,2"
"33,0,22,4,1,1,1,2,1,3,3,3"
"34,0,24,2,1,3,1,3,5,1,2,1"
"35,1,24,2,2,4,5,4,4,2,2,5"
"36,1,25,2,2,2,1,4,2,2,2,1"
"37,1,24,2,2,1,4,3,5,2,2,2"
"38,0,25,2,2,3,6,3,3,3,3,4"
"39,0,26,2,1,1,5,4,5,3,2,3"
"40,0,23,2,2,1,4,4,4,3,2,3"
"41,0,24,2,1,3,2,5,5,5,1,1"
"42,0,24,2,1,1,1,3,5,3,2,2"
"43,0,20,2,1,1,4,3,4,2,2,4"
"44,1,25,2,2,1,4,3,3,4,2,2"
"45,0,24,2,2,3,6,2,1,2,3,3"
"46,1,21,2,1,1,2,3,4,2,3,3"
"47,0,20,12,1,1,3,5,5,1,1,1"
"48,0,24,2,2,3,6,4,4,2,3,3"
"49,0,22,8,2,3,5,3,4,6,2,2"
"50,0,21,2,1,1,4,3,5,2,3,3"
"51,0,33,2,2,4,3,5,3,3,1,1"
"52,0,27,2,2,3,3,4,4,2,2,4"
"53,1,23,2,2,2,5,4,2,2,4,5"
"54,0,26,13,2,3,4,4,3,1,3,2"
"55,0,27,2,2,3,3,4,1,5,2,3"
"56,0,23,14,2,2,3,3,4,3,2,2"
